"ID" "Mean" "Parity" "Sex" "Herd" "YearSeason" "dam" "BirthWeight" "DAY115" "BF115" "LMA115" "LEAN115"
"DDTCZZC17213424" 1 3 "公" "育1" 171 "DDTCZZC15204929" 1.7 177.66 12.61 NA NA
"DDTCZZC17212618" 1 0 "公" "育1" 174 "DDTCZZC15201927" 1.6 162.08 13.86 NA NA
"DDTCZZC18220770" 1 1 "母" "育1" 184 "DDTCZZC17217573" 0.9 212.5 10.89 24.65 49.59
"DDTCZZC16208643" 1 0 "母" "育1" 162 "DDTCZZC14200039" 1.2 175.46 10.94 NA NA
"DDTCZZC15201624" 1 1 "母" "育1" 151 "DDTCZZC14200202" 1.3 184.22 12.54 NA NA
"DDTCZZC14201167" 1 0 "公" "育1" 143 "DDTCZZC13020382" 1.85 157.05 9.35 NA NA
"DDTCZZC17213382" 1 5 "公" "育1" 172 "DDTCZZC14201189" 2.4 211.89 8.3 NA NA
"DDTCZZC14200993" 1 0 "母" "育1" 142 "DDTCZZC13020337" 1.6 161.08 13.07 NA NA
"DDTCZZC16207642" 1 2 "公" "育1" 162 "DDTCZZC15203773" 1.9 154.66 10.85 NA NA
"DDTCZZC16208388" 1 1 "母" "育3" 163 "DDTCZZC15206712" 1.8 175.04 9.91 NA NA
"DDTCZZC18219712" 1 1 "母" "育2" 183 "DDTCZZC17211397" 0.8 191.65 9.53 NA NA
"DDTCZZC17211145" 1 2 "母" "育1" 173 "DDTCZZC16207261" 1.6 189.01 7.35 NA NA
"DDTCZZC14201538" 1 0 "母" "育1" 143 "DDTCZZC13020389" 0 185.31 10.81 NA NA
"DDTCZZC17212658" 1 2 "公" "育1" 174 "DDTCZZC15202835" 1 180.94 11.84 NA NA
"DDTCZZC14203619" 1 0 "母" "育1" 142 "DDTCZZC13020342" 1.65 178.48 13.04 NA NA
"DDTCZZC18215193" 1 1 "公" "育3" 181 "DDTCZZC17214009" 1.7 187.26 10.94 NA NA
"DDTCZZC17210224" 1 5 "母" "育1" 172 "DDTCZZC15201474" 1.7 172.33 9.67 NA NA
"DDTCZZC15201783" 1 1 "公" "育1" 154 "DDTCZZC14200147" 1.05 166 8.68 NA NA
"DDTCZZC17210092" 1 3 "母" "育1" 172 "DDTCZZC15203196" 1.6 173.26 11.55 NA NA
"DDTCZZC18219370" 1 1 "母" "育2" 183 "DDTCZZC17217037" 1.6 204.29 7.95 26.04 51.16
"DDTCZZC17217853" 1 2 "公" "育1" 174 "DDTCZZC16209590" 1.5 176.41 13.54 NA NA
"DDTCZZC15203257" 1 2 "母" "育1" 152 "DDTCZZC14200217" 1.75 187.11 10.98 NA NA
"DDTCZZC17214623" 1 5 "母" "育1" 173 "DDTCZZC15201739" 1.4 197.13 7.65 NA NA
"DDTCZZC18216384" 1 2 "公" "育3" 181 "DDTCZZC16214978" 2.2 196.45 8.87 NA NA
"DDTCZZC16212315" 1 0 "母" "育1" 164 "DDTCZZC15201448" 1.8 161.27 9.94 NA NA
"DDTCZZC18220522" 1 3 "母" "育2" 183 "DDTCZZC17212712" 1.5 227.59 10.95 19.13 47.4
"DDTCZZC19227046" 1 4 "公" "测02" 193 "DDTCZZC17210208" 1.8 138.81 13.83 32.98 51.83
"DDTCZZC15204658" 1 1 "母" "育1" 151 "DDTCZZC14200404" 1.6 181.91 12.86 NA NA
"DDTCZZC16208795" 1 0 "公" "育1" 162 "DDTCZZC15202669" 0 158.43 10.34 NA NA
"DDTCZZC15201499" 1 3 "母" "育1" 154 "DDTCZZC13020431" 1.15 178.51 10.47 NA NA
"DDTCZZC18218849" 1 1 "公" "育2" 183 "DDTCZZC17211394" 1.8 196.81 9.38 NA NA
