ID	Sire	Dam	Order
DDTCZZC12A918ET	DDTCZZC11A171WT	DDTCZZC11A011ET	203
DDTCZZC12A144BT			204
DDTCZZC13020487	DDTCZZC12A918ET	DDTCZZC12A144BT	205
DDTCZZC14200044	DDTCZZC13020483	DDTCZZC13020487	206
DDTCZZC13020330	DDTCZZC126923BT	DDTCZZC124917LT	207
DDTCZZC14200007	DDTCZZC13020471	DDTCZZC13020330	208
DDTCZZC14201261	DDTCZZC13020481	DDTCZZC13020428	209
DDTCZZC15204954	DDTCZZC14200007	DDTCZZC14201261	210
DDTCZZC16207195	DDTCZZC14200127	DDTCZZC15204954	211
DDTCZZC14200391	DDTCZZC13020471	DDTCZZC13020351	212
DDTCZZC15204907	DDTCZZC14203535	DDTCZZC14200391	213
DDTCZZC14201151	DDTCZZC13020477	DDTCZZC13020423	214
DDTCZZC12C088RT	DDTCZZC11B253OT	DDTCZZC113742MT	215
DDTCZZC12A284ST	DDTCZZC112528TT	DDTCZZC11A835LT	216
DDTCZZC130A0484	DDTCZZC12C088RT	DDTCZZC12A284ST	217
DDTCZZC14200238	DDTCZZC130A0484	DDTCZZC13020345	218
DDTCZZC15204982	DDTCZZC14201151	DDTCZZC14200238	219
DDTCZZC16208103	DDTCZZC15204907	DDTCZZC15204982	220
DDTCZZC17212941	DDTCZZC16207195	DDTCZZC16208103	221
DDTCZZC12E989PT			222
DDTCZZC13020470	DDTCZZC12E933HT	DDTCZZC12E989PT	223
DDTCZZC14200318	DDTCZZC13020450	DDTCZZC13020328	224
DDTCZZC15201681	DDTCZZC13020470	DDTCZZC14200318	225
DDTCZZC12A343GT			226
DDTCZZC13020333	DDTCZZC126923BT	DDTCZZC12A343GT	227
DDTCZZC14200186	DDTCZZC13020481	DDTCZZC13020333	228
DDTCZZC15204935	DDTCZZC14200548	DDTCZZC14200186	229
DDTCZZC16208682	DDTCZZC15201681	DDTCZZC15204935	230
DDTCZZC14200039	DDTCZZC13020483	DDTCZZC13020487	231
DDTCZZC15206712	DDTCZZC14200548	DDTCZZC14200039	232
DDTCZZC17217122	DDTCZZC16208682	DDTCZZC15206712	233
DDTCZZC18218939	DDTCZZC17212941	DDTCZZC17217122	234
DDTCZZC12B104ST			235
DDTCZZC13020444	DDTCZZC12A959BT	DDTCZZC12B104ST	236
DDTCZZC14201125	DDTCZZC13020469	DDTCZZC13020444	237
DDTCZZC12B849NT	DDTCZZC11937FOG	DDTCZZC11A222IT	238
DDTCZZC13020466	DDTCZZC125217KT	DDTCZZC12B849NT	239
DDTCZZC12859820			240
DDTCZZC12E022ET			241
DDTCZZC13020426	DDTCZZC12859820	DDTCZZC12E022ET	242
DDTCZZC14200416	DDTCZZC13020466	DDTCZZC13020426	243
DDTCZZC15204005	DDTCZZC13020453	DDTCZZC14200416	244
DDTCZZC12A104ST			245
DDTCZZC13020431	DDTCZZC12B959BT	DDTCZZC12A104ST	246
DDTCZZC14200897	DDTCZZC13020457	DDTCZZC13020431	247
DDTCZZC16208989	DDTCZZC15204005	DDTCZZC14200897	248
DDTCZZC13020412	DDTCZZC12D088RT	DDTCZZC128457DT	249
DDTCZZC15201426	DDTCZZC13020481	DDTCZZC13020412	250
DDTCZZC12C343GT			251
DDTCZZC13020447	DDTCZZC12B959BT	DDTCZZC12C343GT	252
DDTCZZC12B001FT			253
