ID	HTD	CDSD	DIMph	AGE	lg0	lg1	lg2	lg3	lg4	Milkyield
310204140032	26320186	20173	15	31	0.707106781	0.371121212	-0.572813039	-0.720230263	0.143269509	28
310204140032	26320187	20173	17	32	0.707106781	0.571526667	-0.274096444	-0.834251017	-0.496750844	26
310204140032	263201711	20173	1	25	0.707106781	-1.135630909	1.248669983	-1.12688263	0.816968107	25
310204141141	26320181	20173	6	27	0.707106781	-0.660595758	-0.100563794	0.779676981	-0.733344855	34
310204141141	26320182	20173	8	28	0.707106781	-0.393388485	-0.545894571	0.746392816	0.073523489	35
310204141141	26320183	20173	10	29	0.707106781	-0.215250303	-0.717336466	0.467825346	0.558611615	34
310204141141	26320185	20173	13	30	0.707106781	0.148448485	-0.755754086	-0.331821301	0.680614852	31
310204141141	26320186	20173	15	31	0.707106781	0.371121212	-0.572813039	-0.720230263	0.143269509	33
310204141141	26320187	20173	17	32	0.707106781	0.571526667	-0.274096444	-0.834251017	-0.496750844	29
310204141141	26320188	20173	19	33	0.707106781	0.78677697	0.188221715	-0.562746854	-0.906793369	26
310204141141	263201711	20173	1	25	0.707106781	-1.135630909	1.248669983	-1.12688263	0.816968107	11
310204150049	26320186	20181	1	24	0.707106781	-1.135630909	1.248669983	-1.12688263	0.816968107	27
310204150049	26320187	20181	3	25	0.707106781	-0.935225455	0.592434314	0.060215102	-0.68739813	32
310204150049	26320188	20181	5	26	0.707106781	-0.719975152	0.029063005	0.699481801	-0.845240187	34
310204150049	26320189	20181	8	27	0.707106781	-0.400810909	-0.536573289	0.754459812	0.049929296	32
310204150049	263201810	20181	10	28	0.707106781	-0.215250303	-0.717336466	0.467825346	0.558611615	34
310204150049	263201811	20181	12	29	0.707106781	0.059379394	-0.785024654	-0.135527189	0.776838621	36
310204150049	263201812	20181	14	30	0.707106781	0.24494	-0.695732	-0.523832034	0.4921416	35
310204150049	26320191	20181	15	31	0.707106781	0.445345455	-0.476986777	-0.795559009	-0.094122636	29
310204150049	26320192	20181	18	32	0.707106781	0.727397576	0.046050388	-0.68679617	-0.855794635	31
310204090914	26320181	20173	7	26	0.707106781	-0.54183697	-0.326365315	0.836516606	-0.406014689	34
310204090914	26320183	20173	11	28	0.707106781	-0.096491515	-0.775877601	0.218810483	0.746464993	33
310204090914	26320184	20173	12	29	0.707106781	0.074224242	-0.781888522	-0.169034164	0.766393703	27
310204090914	26320186	20173	16	31	0.707106781	0.48988	-0.411128	-0.823164625	-0.2397069	30
310204090914	26320187	20173	18	32	0.707106781	0.690285455	-0.037144231	-0.74422718	-0.79501705	28
310204090914	263201711	20173	2	24	0.707106781	-1.016872121	0.844457385	-0.347186907	-0.277733959	22
310204130872	26320181	20173	7	26	0.707106781	-0.549259394	-0.313559442	0.836649876	-0.429078843	36
